e_Mo,e_Co,e_0,e_Cr,e_Mn,sigma,e_C,e_Al,e_V,e_Ni,e_Si,nu
-85.79135131835938,-34.096893310546875,767.645751953125,-56.37574768066406,-75.16239929199219,21.941558837890625,-38.03778076171875,19.196746826171875,-41.218536376953125,-32.56231689453125,-11.200164794921875,56.239070892333984
-85.40571594238281,-6.246246337890625,774.516357421875,-56.91583251953125,-76.6962890625,20.50811195373535,-40.9605712890625,-2.27435302734375,-1.278900146484375,-33.487762451171875,-12.36572265625,36.101104736328125
-84.542724609375,-18.599273681640625,771.7733154296875,-53.02796936035156,-78.10646057128906,19.610916137695312,-42.20794677734375,27.021514892578125,-30.639739990234375,-31.852203369140625,-9.960662841796875,45.54304122924805
-77.21098327636719,-36.375946044921875,753.0338745117188,-50.04545593261719,-69.1942138671875,21.38290023803711,-37.191925048828125,16.115692138671875,-38.58099365234375,-29.37548828125,-14.760009765625,48.688167572021484
-74.84945678710938,-57.14649963378906,755.463134765625,-49.800384521484375,-71.09779357910156,19.211868286132812,-41.973846435546875,36.809661865234375,-51.84638977050781,-29.352752685546875,-9.905426025390625,27.954669952392578
-75.63789367675781,-28.5872802734375,747.961669921875,-48.170074462890625,-77.81179809570312,19.793437957763672,-35.199920654296875,10.45416259765625,-52.65074157714844,-30.761962890625,-6.248199462890625,16.903335571289062
-71.93936157226562,-28.66363525390625,749.8230590820312,-52.900421142578125,-70.23248291015625,18.47349739074707,-37.9566650390625,11.58477783203125,-45.812286376953125,-30.62506103515625,-9.41864013671875,15.420881271362305
-74.73908996582031,-25.905426025390625,745.6055908203125,-53.32664489746094,-67.61231994628906,20.554767608642578,-38.77447509765625,12.164306640625,-71.84040832519531,-27.988433837890625,-9.684234619140625,16.931385040283203
-79.634033203125,-40.428741455078125,752.4091796875,-48.84782409667969,-76.36471557617188,20.405364990234375,-36.82501220703125,18.555816650390625,-91.52174377441406,-27.76348876953125,-8.643646240234375,26.186983108520508
-77.39906311035156,-23.918609619140625,760.48828125,-54.984527587890625,-70.97323608398438,16.191455841064453,-36.268341064453125,17.52447509765625,-66.87159729003906,-33.039306640625,-12.357452392578125,6.316842555999756
-67.84764099121094,-7.793365478515625,747.3102416992188,-47.48121643066406,-70.48291015625,22.676677703857422,-39.391937255859375,14.278350830078125,-46.002532958984375,-28.43975830078125,-10.33447265625,27.236835479736328
-66.4901123046875,-39.154541015625,739.47265625,-49.63288879394531,-67.29653930664062,18.994136810302734,-37.237762451171875,18.9219970703125,-70.29875183105469,-28.7127685546875,-10.36553955078125,23.007394790649414
-77.34652709960938,-37.18499755859375,755.0335693359375,-52.68414306640625,-72.42340087890625,18.077733993530273,-40.285003662109375,22.0494384765625,-60.85603332519531,-30.1610107421875,-9.700469970703125,18.003629684448242
-75.92181396484375,-29.8779296875,762.442626953125,-53.371826171875,-76.44889831542969,19.96942138671875,-40.224090576171875,17.61932373046875,-77.81765747070312,-29.4676513671875,-12.772705078125,17.457096099853516
-75.51339721679688,-30.4464111328125,756.3829345703125,-47.36419677734375,-82.16081237792969,18.91742515563965,-39.97833251953125,23.958587646484375,-81.93852233886719,-30.9805908203125,-7.424224853515625,17.278810501098633
-75.89590454101562,-19.32879638671875,744.5171508789062,-49.891082763671875,-71.19267272949219,19.58013343811035,-32.92071533203125,5.5809326171875,-76.27934265136719,-31.58685302734375,-11.616668701171875,30.301212310791016
-65.82499694824219,-49.391326904296875,736.7984619140625,-50.458221435546875,-67.71607971191406,17.739151000976562,-33.2698974609375,26.773834228515625,-56.095611572265625,-27.905487060546875,-10.884033203125,24.64886474609375
-75.78919982910156,-31.981109619140625,745.9042358398438,-52.27711486816406,-75.62193298339844,19.757915496826172,-34.515289306640625,18.729522705078125,-62.571258544921875,-27.105804443359375,-8.0040283203125,27.268508911132812
-71.83497619628906,-23.663330078125,745.947998046875,-49.79219055175781,-69.86726379394531,20.305002212524414,-38.913665771484375,11.630523681640625,-101.88980102539062,-28.251007080078125,-7.262176513671875,30.7165584564209
-74.70852661132812,-34.156829833984375,757.09228515625,-51.51289367675781,-67.43264770507812,18.61099624633789,-39.243927001953125,25.351593017578125,-43.68988037109375,-30.68572998046875,-13.374114990234375,33.29396438598633
