e_C,e_Al,e_Ni,e_V,nu,sigma,e_Si,e_0,e_Cr,e_Mo,e_Co,e_Mn
-160.71214294433594,38.726226806640625,-30.477081298828125,-79.81181335449219,22.735105514526367,20.68040657043457,-17.9439697265625,745.7689208984375,-49.936676025390625,-44.606475830078125,-38.667236328125,-72.16194152832031
-159.3786163330078,28.466949462890625,-27.72149658203125,-143.59661865234375,10.096827507019043,18.27245330810547,-11.40179443359375,744.6968994140625,-52.6436767578125,-43.88787841796875,-17.895782470703125,-73.20207214355469
-136.36585998535156,38.950408935546875,-28.651947021484375,-102.1483154296875,28.43808937072754,20.49365997314453,-15.62786865234375,728.4310913085938,-48.82209777832031,-41.251953125,-24.2225341796875,-69.78465270996094
-152.72496032714844,35.2896728515625,-25.827178955078125,-89.10220336914062,16.012928009033203,20.540184020996094,-6.942626953125,734.931884765625,-51.975982666015625,-37.973419189453125,-27.053375244140625,-74.67677307128906
-145.31944274902344,52.555572509765625,-31.347686767578125,-31.219879150390625,18.58217430114746,21.59512710571289,-27.539459228515625,743.191162109375,-49.7625732421875,-46.74085998535156,-28.868133544921875,-69.44416809082031
-166.43008422851562,32.57281494140625,-25.88336181640625,-52.33782958984375,36.03839111328125,18.297033309936523,-15.509918212890625,741.7993774414062,-51.45896911621094,-41.425811767578125,-32.299224853515625,-72.34364318847656
-145.31600952148438,21.43951416015625,-28.125396728515625,-69.94284057617188,22.678964614868164,18.666366577148438,-18.397430419921875,744.7183837890625,-55.16120910644531,-44.28395080566406,-22.30487060546875,-71.31268310546875
-150.84564208984375,29.923095703125,-29.5626220703125,-92.24893188476562,43.707794189453125,19.99856948852539,-8.7408447265625,745.2509155273438,-52.782012939453125,-42.6644287109375,-36.87921142578125,-79.278076171875
-165.15960693359375,7.36529541015625,-25.474853515625,-73.65705871582031,34.858489990234375,20.887470245361328,-13.056060791015625,739.7767944335938,-51.56587219238281,-41.646148681640625,-14.36639404296875,-70.4693603515625
-156.11183166503906,30.5718994140625,-28.446197509765625,-72.69993591308594,24.491607666015625,20.518129348754883,-13.39599609375,746.0391235351562,-54.27362060546875,-45.35395812988281,-47.47215270996094,-74.3013916015625
-150.60385131835938,16.458831787109375,-30.557281494140625,-2.123138427734375,16.2960262298584,18.707401275634766,-17.949493408203125,760.9335327148438,-57.358123779296875,-50.948028564453125,-5.650421142578125,-81.69081115722656
